"AppID"	"Price"	"Category_new"	"Subcategory_new"	"IsFree"	"RateC_avg"	"RateC_n"	"RateA_avg"	"RateA_n"	"Updated"
399	"Free"	"lifestyle"	"health and fitness"	TRUE	3	191	3.5	4086	FALSE
446	"Free"	"lifestyle"	"games"	TRUE		0	3	117	FALSE
453	"$0.99"	"lifestyle"	"games"	FALSE	5	15	4.5	814	FALSE
456	"Free"	"lifestyle"	"games"	TRUE	3.5	42	4	189	FALSE
463	"$1.99"	"lifestyle"	"education"	FALSE	3	35	3.5	1537	FALSE
496	"Free"	"lifestyle"	"food and drink"	TRUE		0	3	49	FALSE
523	"Free"	"lifestyle"	"lifestyle"	TRUE	3	32	3	4759	FALSE
551	"Free"	"lifestyle"	"lifestyle"	TRUE	4.5	22	4.5	287	TRUE
563	"Free"	"lifestyle"	"food and drink"	TRUE		0	4	45	FALSE
655	"$0.99"	"lifestyle"	"health and fitness"	FALSE	3	345	3	350	FALSE
671	"$0.99"	"lifestyle"	"health and fitness"	FALSE	3	479	3	479	FALSE
675	"$1.99"	"lifestyle"	"health and fitness"	FALSE	4	26	4	65	FALSE
676	"Free"	"lifestyle"	"health and fitness"	TRUE	4.5	159	4	267	FALSE
710	"Free"	"lifestyle"	"games"	TRUE	4.5	82	4.5	98	FALSE
714	"$4.99"	"lifestyle"	"games"	FALSE		0	3	135	TRUE
727	"$0.99"	"lifestyle"	"photo and video"	FALSE		0	3	46	TRUE
737	"Free"	"lifestyle"	"entertainment"	TRUE		0	3.5	178	FALSE
842	"Free"	"lifestyle"	"education"	TRUE	3.5	167	3.5	813	FALSE
914	"$0.99"	"lifestyle"	"utilities"	FALSE	3	484	3	2076	FALSE
929	"$1.99"	"lifestyle"	"utilities"	FALSE		0	4.5	114	FALSE
946	"Free"	"lifestyle"	"lifestyle"	TRUE	2	19	2.5	74	TRUE
986	"Free"	"lifestyle"	"social networking"	TRUE	4.5	45	4.5	174	FALSE
999	"Free"	"lifestyle"	"photo and video"	TRUE	5	52	5	83	FALSE
1012	"Free"	"lifestyle"	"productivity"	TRUE	4	15	4	37	FALSE
1024	"$5.99"	"lifestyle"	"lifestyle"	FALSE	4.5	32	4.5	59	FALSE
1032	"Free"	"lifestyle"	"health and fitness"	TRUE	3	7	4	115	FALSE
1046	"Free"	"lifestyle"	"lifestyle"	TRUE	4.5	893	4.5	1546	TRUE
1076	"Free"	"social networking"	"lifestyle"	TRUE		0	2.5	216	TRUE
1078	"Free"	"social networking"	"lifestyle"	TRUE	1.5	23	2	53	FALSE
1091	"Free"	"lifestyle"	"lifestyle"	TRUE		0	3	117	FALSE
1111	"Free"	"lifestyle"	"lifestyle"	TRUE	2.5	9	2.5	31	FALSE
1114	"Free"	"lifestyle"	"entertainment"	TRUE	3.5	45	3	203	FALSE
1116	"Free"	"lifestyle"	"productivity"	TRUE	2	9	2	118	FALSE
1121	"$0.99"	"lifestyle"	"games"	FALSE	3	528	3	662	FALSE
1128	"Free"	"lifestyle"	"lifestyle"	TRUE		0	4.5	201	FALSE
1159	"Free"	"lifestyle"	"lifestyle"	TRUE	2	6	2.5	55	TRUE
1164	"Free"	"lifestyle"	"finance"	TRUE	5	85	4	288	TRUE
1187	"Free"	"lifestyle"	"health and fitness"	TRUE	4.5	6	4	83	TRUE
1200	"Free"	"lifestyle"	"lifestyle"	TRUE		0	4	65	TRUE
1230	"Free"	"lifestyle"	"utilities"	TRUE	1.5	8	1.5	85	FALSE
1237	"Free"	"lifestyle"	"lifestyle"	TRUE		0	3	112	FALSE
1275	"Free"	"lifestyle"	"games"	TRUE		0	4	37	FALSE
1285	"Free"	"social networking"	"lifestyle"	TRUE	1	20	1.5	1360	TRUE
1319	"$2.99"	"lifestyle"	"utilities"	FALSE	3.5	43	3	74	FALSE
1348	"Free"	"lifestyle"	"games"	TRUE	4	228	4	464	FALSE
1351	"Free"	"lifestyle"	"games"	TRUE	4.5	23	4.5	84	FALSE
1413	"Free"	"lifestyle"	"lifestyle"	TRUE		0	4.5	34	FALSE
1414	"Free"	"lifestyle"	"lifestyle"	TRUE	4.5	125	5	4080	FALSE
1468	"Free"	"lifestyle"	"photo and video"	TRUE	3	39	3.5	11644	FALSE
1503	"Free"	"lifestyle"	"lifestyle"	TRUE	4.5	20	3.5	210	TRUE
1543	"Free"	"lifestyle"	"lifestyle"	TRUE	2	17	2	127	FALSE
1554	"Free"	"lifestyle"	"lifestyle"	TRUE	2	405	2	405	FALSE
1558	"Free"	"lifestyle"	"photo and video"	TRUE		0	3.5	42	FALSE
1560	"Free"	"lifestyle"	"games"	TRUE	4.5	706	4.5	706	FALSE
1562	"Free"	"lifestyle"	"entertainment"	TRUE	3	7	2.5	31	FALSE
1563	"Free"	"lifestyle"	"entertainment"	TRUE	3	63	3	116	FALSE
1565	"$0.99"	"lifestyle"	"entertainment"	FALSE	2.5	81	2.5	81	FALSE
1566	"$0.99"	"lifestyle"	"entertainment"	FALSE	2.5	57	2.5	57	FALSE
1567	"$0.99"	"lifestyle"	"games"	FALSE		0	3	1122	FALSE
1569	"$0.99"	"lifestyle"	"entertainment"	FALSE	2.5	37	2.5	37	FALSE
1570	"Free"	"lifestyle"	"entertainment"	TRUE	2.5	657	2.5	657	FALSE
1573	"$0.99"	"lifestyle"	"lifestyle"	FALSE		0	2.5	3970	FALSE
1574	"$0.99"	"lifestyle"	"lifestyle"	FALSE		0	2.5	216	FALSE
1575	"$0.99"	"lifestyle"	"entertainment"	FALSE	2	11	2.5	110	FALSE
1578	"$0.99"	"lifestyle"	"lifestyle"	FALSE		0	2.5	795	FALSE
1580	"$0.99"	"lifestyle"	"entertainment"	FALSE	3	69	3	69	FALSE
1584	"$0.99"	"lifestyle"	"social networking"	FALSE	3.5	64	3.5	64	FALSE
1585	"Free"	"lifestyle"	"entertainment"	TRUE		0	2	590	FALSE
1622	"Free"	"lifestyle"	"entertainment"	TRUE	3.5	339	3.5	348	FALSE
1624	"Free"	"lifestyle"	"lifestyle"	TRUE	4	293	4.5	1071	FALSE
1625	"Free"	"lifestyle"	"lifestyle"	TRUE	3.5	79	3.5	135	FALSE
1626	"Free"	"lifestyle"	"books"	TRUE		0	5	50	FALSE
1649	"$0.99"	"lifestyle"	"lifestyle"	FALSE	4	242	4	242	FALSE
1650	"Free"	"lifestyle"	"entertainment"	TRUE	3.5	164	3	198	FALSE
1653	"Free"	"lifestyle"	"news"	TRUE		0	3.5	37	FALSE
1681	"Free"	"lifestyle"	"travel"	TRUE		0	4.5	43	FALSE
1686	"Free"	"lifestyle"	"entertainment"	TRUE	4.5	38	4	88	FALSE
1694	"Free"	"lifestyle"	"social networking"	TRUE	3	5	2.5	353	FALSE
1704	"Free"	"lifestyle"	"health and fitness"	TRUE	3	6	3	114	TRUE
1712	"Free"	"lifestyle"	"lifestyle"	TRUE	2	32	2	189	FALSE
1731	"Free"	"lifestyle"	"lifestyle"	TRUE	2.5	50	3	2326	TRUE
1760	"Free"	"lifestyle"	"travel"	TRUE	3.5	12	2.5	73	TRUE
1763	"Free"	"lifestyle"	"travel"	TRUE	1	9	1.5	60	FALSE
1782	"Free"	"lifestyle"	"social networking"	TRUE	2.5	17	2.5	63	FALSE
1794	"Free"	"lifestyle"	"health and fitness"	TRUE	2	16	3	45	FALSE
1846	"Free"	"lifestyle"	"lifestyle"	TRUE	4.5	7	4	72	FALSE
1850	"$0.99"	"lifestyle"	"productivity"	FALSE		0	4.5	44	FALSE
1852	"$0.99"	"lifestyle"	"lifestyle"	FALSE	4	5	4.5	94	FALSE
1853	"$0.99"	"lifestyle"	"health and fitness"	FALSE	5	5	4.5	74	FALSE
1854	"$0.99"	"lifestyle"	"finance"	FALSE	5	5	4.5	86	FALSE
1856	"$0.99"	"lifestyle"	"lifestyle"	FALSE		0	4	113	FALSE
1857	"$0.99"	"lifestyle"	"health and fitness"	FALSE		0	4.5	254	FALSE
1867	"$2.99"	"lifestyle"	"lifestyle"	FALSE		0	5	46	FALSE
1884	"Free"	"lifestyle"	"books"	TRUE		0	3	45	FALSE
1944	"Free"	"lifestyle"	"photo and video"	TRUE		0	3.5	37	TRUE
1975	"Free"	"lifestyle"	"lifestyle"	TRUE	3.5	24	3.5	31	FALSE
2002	"$2.99"	"lifestyle"	"food and drink"	FALSE		0	3.5	90	FALSE
2008	"$3.99"	"lifestyle"	"health and fitness"	FALSE	3	10	4	80	FALSE
2016	"Free"	"lifestyle"	"lifestyle"	TRUE	4	47	4	47	FALSE
2033	"Free"	"lifestyle"	"lifestyle"	TRUE		0	3	14763	TRUE
2034	"$0.99"	"lifestyle"	"lifestyle"	FALSE		0	3	52	TRUE
2160	"Free"	"lifestyle"	"lifestyle"	TRUE		0	3.5	62	FALSE
2173	"$7.99"	"lifestyle"	"productivity"	FALSE	1.5	17	2	422	FALSE
2174	"$9.99"	"lifestyle"	"productivity"	FALSE	2	19	2	79	FALSE
2232	"$4.99"	"lifestyle"	"lifestyle"	FALSE	4	22	4.5	36	FALSE
2243	"$0.99"	"lifestyle"	"lifestyle"	FALSE	2.5	35	2.5	35	FALSE
2291	"Free"	"lifestyle"	"lifestyle"	TRUE	2.5	285	2.5	285	FALSE
2292	"Free"	"lifestyle"	"lifestyle"	TRUE	3	6012	3	6012	FALSE
2299	"Free"	"lifestyle"	"lifestyle"	TRUE	4.5	33	5	54	FALSE
2383	"Free"	"lifestyle"	"books"	TRUE		0	2.5	79	TRUE
2391	"$0.99"	"lifestyle"	"games"	FALSE		0	4.5	57	FALSE
2407	"Free"	"lifestyle"	"weather"	TRUE	3	5	4.5	41	FALSE
2420	"$0.99"	"lifestyle"	"entertainment"	FALSE	3.5	124	3.5	124	FALSE
2431	"Free"	"lifestyle"	"entertainment"	TRUE	3.5	2460	2.5	156414	FALSE
2445	"Free"	"lifestyle"	"lifestyle"	TRUE	2	10	2	151	FALSE
2452	"$9.99"	"lifestyle"	"entertainment"	FALSE	3.5	34	3	75	FALSE
2453	"Free"	"lifestyle"	"entertainment"	TRUE	2.5	412	2	1862	FALSE
2458	"Free"	"lifestyle"	"travel"	TRUE	3	13	4	6018	TRUE
2502	"Free"	"lifestyle"	"lifestyle"	TRUE		0	4	36	FALSE
2506	"Free"	"lifestyle"	"lifestyle"	TRUE		0	4	42	FALSE
2516	"Free"	"lifestyle"	"lifestyle"	TRUE		0	4	81	FALSE
2517	"Free"	"lifestyle"	"travel"	TRUE	4	62	3.5	1114	FALSE
2525	"Free"	"lifestyle"	"utilities"	TRUE	2	69	2	69	FALSE
2532	"$0.99"	"lifestyle"	"entertainment"	FALSE	2.5	165	2.5	165	FALSE
2577	"Free"	"lifestyle"	"travel"	TRUE	4.5	24	3	3160	FALSE
2578	"$0.99"	"lifestyle"	"entertainment"	FALSE	2	5	2	60	FALSE
2580	"Free"	"lifestyle"	"books"	TRUE	4.5	13	4.5	849	FALSE
2581	"Free"	"lifestyle"	"lifestyle"	TRUE		0	2.5	32	TRUE
2583	"Free"	"lifestyle"	"entertainment"	TRUE		0	3	44	FALSE
2595	"Free"	"lifestyle"	"lifestyle"	TRUE	1	19	1.5	66	FALSE
2611	"Free"	"lifestyle"	"lifestyle"	TRUE		0	3	145	FALSE
2651	"Free"	"lifestyle"	"entertainment"	TRUE	3	8	4	65	FALSE
2824	"$0.99"	"lifestyle"	"entertainment"	FALSE	4	19	3	555	FALSE
2868	"$1.99"	"lifestyle"	"lifestyle"	FALSE	4.5	16	4	297	FALSE
2869	"Free"	"lifestyle"	"productivity"	TRUE		0	4	38	FALSE
2873	"Free"	"lifestyle"	"utilities"	TRUE	4	28	4	109	FALSE
2874	"$2.99"	"lifestyle"	"utilities"	FALSE	4.5	97	4	168	FALSE
2875	"$2.99"	"lifestyle"	"lifestyle"	FALSE	3	25	3.5	117	FALSE
2881	"Free"	"lifestyle"	"entertainment"	TRUE	2	39	2.5	223	FALSE
2891	"$34.99"	"lifestyle"	"lifestyle"	FALSE	4.5	37	4.5	168	FALSE
2902	"Free"	"lifestyle"	"lifestyle"	TRUE	4	26	4	51	FALSE
2905	"Free"	"lifestyle"	"utilities"	TRUE		0	3	181	FALSE
2907	"Free"	"lifestyle"	"utilities"	TRUE	3.5	76	3.5	117	FALSE
2909	"Free"	"lifestyle"	"utilities"	TRUE	2	61	2	61	FALSE
2918	"Free"	"lifestyle"	"lifestyle"	TRUE	4.5	8	4	193	FALSE
2938	"$0.99"	"lifestyle"	"utilities"	FALSE		0	2.5	3725	FALSE
2940	"$0.99"	"lifestyle"	"utilities"	FALSE	2.5	50	2.5	50	FALSE
2942	"Free"	"lifestyle"	"utilities"	TRUE	3	97	2.5	12868	FALSE
2943	"$3.99"	"lifestyle"	"lifestyle"	FALSE		0	2.5	123	FALSE
2946	"$0.99"	"lifestyle"	"productivity"	FALSE		0	3	134	FALSE
2951	"$0.99"	"lifestyle"	"utilities"	FALSE	4	40	2.5	491	FALSE
2961	"Free"	"lifestyle"	"lifestyle"	TRUE	3.5	104	3.5	4257	TRUE
2965	"Free"	"lifestyle"	"lifestyle"	TRUE	2	14	2.5	69	FALSE
2968	"Free"	"lifestyle"	"utilities"	TRUE	2	15	2.5	40	FALSE
2978	"Free"	"lifestyle"	"lifestyle"	TRUE		0	4.5	255	TRUE
2982	"Free"	"lifestyle"	"utilities"	TRUE		0	4	34	FALSE
2983	"$1.99"	"lifestyle"	"utilities"	FALSE	2.5	8	3	43	FALSE
2988	"$1.99"	"lifestyle"	"lifestyle"	FALSE	4	75	4	260	FALSE
3055	"Free"	"lifestyle"	"lifestyle"	TRUE	3	15	2	184	TRUE
3068	"Free"	"lifestyle"	"photo and video"	TRUE	3	9	3.5	130	FALSE
3104	"$0.99"	"lifestyle"	"health and fitness"	FALSE		0	2.5	35	FALSE
3154	"$0.99"	"lifestyle"	"lifestyle"	FALSE		0	2.5	66	FALSE
3163	"$0.99"	"lifestyle"	"health and fitness"	FALSE	2.5	58	2.5	58	FALSE
3175	"Free"	"lifestyle"	"lifestyle"	TRUE		0	3	182	TRUE
3195	"Free"	"lifestyle"	"photo and video"	TRUE	3	63	3	63	FALSE
3210	"Free"	"lifestyle"	"social networking"	TRUE	3	44	4	345	FALSE
3216	"Free"	"lifestyle"	"catalogs"	TRUE	4	114	4	253	FALSE
3232	"Free"	"lifestyle"	"news"	TRUE	4.5	751	4.5	2622	FALSE
3234	"Free"	"lifestyle"	"entertainment"	TRUE	4.5	22	5	551	FALSE
3320	"$0.99"	"lifestyle"	"lifestyle"	FALSE	2.5	45	2.5	45	FALSE
3327	"Free"	"lifestyle"	"travel"	TRUE		0	5	57	TRUE
3333	"$0.99"	"lifestyle"	"books"	FALSE	3	45	3	45	FALSE
3360	"Free"	"lifestyle"	"lifestyle"	TRUE	4.5	87	3.5	2685	TRUE
3361	"Free"	"lifestyle"	"lifestyle"	TRUE	4	48	3.5	557	TRUE
3391	"Free"	"lifestyle"	"entertainment"	TRUE		0	2.5	120	FALSE
3424	"Free"	"lifestyle"	"reference"	TRUE	3.5	7	3.5	46	FALSE
3469	"Free"	"social networking"	"lifestyle"	TRUE	2.5	61	2	3138	FALSE
3490	"$1.99"	"lifestyle"	"food and drink"	FALSE	3.5	131	3	408	FALSE
3498	"Free"	"social networking"	"lifestyle"	TRUE	3.5	6	4	325	FALSE
3502	"Free"	"lifestyle"	"lifestyle"	TRUE	3	659	3	659	FALSE
3504	"Free"	"lifestyle"	"lifestyle"	TRUE	3	387	3	387	FALSE
3506	"Free"	"lifestyle"	"food and drink"	TRUE	3	6	2.5	32	FALSE
3521	"$0.99"	"lifestyle"	"productivity"	FALSE	5	1752	5	10144	FALSE
3525	"$19.99"	"lifestyle"	"lifestyle"	FALSE	2.5	47	2	78	FALSE
3552	"$0.99"	"lifestyle"	"lifestyle"	FALSE	1.5	30	2	36	FALSE
3578	"$0.99"	"lifestyle"	"entertainment"	FALSE		0	2.5	74	FALSE
3579	"Free"	"lifestyle"	"lifestyle"	TRUE	4	15	4	879	FALSE
3580	"$0.99"	"lifestyle"	"lifestyle"	FALSE	3.5	40	3.5	40	FALSE
3585	"$3.99"	"lifestyle"	"health and fitness"	FALSE	4	10	4.5	52	FALSE
3586	"$2.99"	"lifestyle"	"health and fitness"	FALSE		0	4.5	956	TRUE
3588	"Free"	"lifestyle"	"food and drink"	TRUE	3	70	3	70	FALSE
3590	"$0.99"	"lifestyle"	"lifestyle"	FALSE	4.5	79	4.5	79	FALSE
3591	"Free"	"lifestyle"	"entertainment"	TRUE		0	2	33	FALSE
3597	"Free"	"lifestyle"	"lifestyle"	TRUE	3	29	3.5	6789	FALSE
3648	"Free"	"lifestyle"	"travel"	TRUE	1.5	11	1.5	652	TRUE
3651	"Free"	"lifestyle"	"lifestyle"	TRUE		0	3	690	TRUE
3721	"Free"	"lifestyle"	"lifestyle"	TRUE		0	5	72	TRUE
3745	"Free"	"lifestyle"	"finance"	TRUE	4	8	4	392	TRUE
3748	"Free"	"lifestyle"	"catalogs"	TRUE		0	3	34	FALSE
3750	"Free"	"lifestyle"	"lifestyle"	TRUE	4.5	27	4	183	TRUE
3753	"Free"	"lifestyle"	"food and drink"	TRUE	5	3595	3.5	95679	FALSE
3754	"Free"	"lifestyle"	"food and drink"	TRUE	4	84	4	142	FALSE
3787	"$0.99"	"lifestyle"	"lifestyle"	FALSE	2.5	13	1.5	39	FALSE
3800	"Free"	"lifestyle"	"entertainment"	TRUE	5	50	4.5	8892	TRUE
3808	"Free"	"lifestyle"	"entertainment"	TRUE	4.5	29	4.5	34	FALSE
3841	"Free"	"lifestyle"	"travel"	TRUE	4.5	56	4.5	112	FALSE
3842	"Free"	"lifestyle"	"utilities"	TRUE	4	74	4	522	FALSE
3863	"Free"	"lifestyle"	"music"	TRUE	4.5	44	4.5	44	FALSE
3866	"Free"	"social networking"	"lifestyle"	TRUE		0	3.5	35	TRUE
3908	"Free"	"lifestyle"	"lifestyle"	TRUE	5	25	5	88	FALSE
3909	"Free"	"lifestyle"	"entertainment"	TRUE	1	6	2	40	FALSE
3941	"$1.99"	"lifestyle"	"education"	FALSE	3	5	3.5	243	FALSE
3989	"Free"	"lifestyle"	"lifestyle"	TRUE	4	14	4.5	191	FALSE
4022	"Free"	"social networking"	"lifestyle"	TRUE		0	3	815	FALSE
4026	"Free"	"lifestyle"	"entertainment"	TRUE		0	3	99	FALSE
4049	"Free"	"lifestyle"	"entertainment"	TRUE		0	4	56	TRUE
4085	"$0.99"	"lifestyle"	"lifestyle"	FALSE	3.5	399	3.5	469	FALSE
4127	"$0.99"	"lifestyle"	"travel"	FALSE		0	3.5	35	FALSE
4130	"Free"	"lifestyle"	"entertainment"	TRUE		0	3	3842	FALSE
4186	"Free"	"lifestyle"	"lifestyle"	TRUE		0	4	35	FALSE
4187	"Free"	"lifestyle"	"education"	TRUE		0	4	300	FALSE
4188	"Free"	"lifestyle"	"education"	TRUE		0	4	532	TRUE
4189	"Free"	"lifestyle"	"education"	TRUE	4.5	5	4	439	FALSE
4190	"$5.99"	"lifestyle"	"education"	FALSE	4.5	48	5	357	FALSE
4191	"$4.99"	"lifestyle"	"education"	FALSE	5	7	5	462	TRUE
4192	"$4.99"	"lifestyle"	"education"	FALSE	5	66	5	453	FALSE
4193	"$0.99"	"lifestyle"	"lifestyle"	FALSE	2	82	2	82	FALSE
4203	"$0.99"	"lifestyle"	"entertainment"	FALSE		0	3	1493	TRUE
4205	"Free"	"lifestyle"	"entertainment"	TRUE	3	5	4	57	TRUE
4210	"Free"	"lifestyle"	"entertainment"	TRUE	3	2170	3	2170	FALSE
4235	"Free"	"lifestyle"	"entertainment"	TRUE	3	52	3	52	FALSE
4238	"Free"	"lifestyle"	"lifestyle"	TRUE	4.5	13	4	65	FALSE
4241	"Free"	"lifestyle"	"lifestyle"	TRUE	4.5	6	3	3163	FALSE
4249	"$0.99"	"lifestyle"	"lifestyle"	FALSE	2	17	3.5	52	FALSE
4264	"$0.99"	"lifestyle"	"entertainment"	FALSE		0	3	35	FALSE
4280	"$0.99"	"lifestyle"	"lifestyle"	FALSE		0	2	291	FALSE
4311	"Free"	"lifestyle"	"lifestyle"	TRUE	3.5	143	3.5	432	FALSE
4315	"$1.99"	"lifestyle"	"entertainment"	FALSE	2.5	25	2.5	54	FALSE
4322	"Free"	"lifestyle"	"lifestyle"	TRUE		0	3.5	91	FALSE
4337	"Free"	"lifestyle"	"travel"	TRUE	3.5	13	3.5	31	FALSE
4344	"Free"	"lifestyle"	"lifestyle"	TRUE	3	9772	2.5	77085	FALSE
4358	"Free"	"lifestyle"	"medical"	TRUE	3.5	1531	3.5	1531	FALSE
4365	"$0.99"	"lifestyle"	"lifestyle"	FALSE	3	104	3	104	FALSE
4366	"$0.99"	"lifestyle"	"entertainment"	FALSE	3.5	114	3.5	117	FALSE
4368	"Free"	"lifestyle"	"lifestyle"	TRUE	3.5	32	3.5	32	FALSE
4373	"Free"	"lifestyle"	"lifestyle"	TRUE	3.5	48	3.5	48	FALSE
4374	"Free"	"lifestyle"	"lifestyle"	TRUE	3	80	3	80	FALSE
4382	"$0.99"	"lifestyle"	"entertainment"	FALSE	2.5	1662	2.5	2179	FALSE
4384	"$0.99"	"lifestyle"	"entertainment"	FALSE		0	2.5	76	FALSE
4394	"Free"	"lifestyle"	"entertainment"	TRUE	2.5	30	2.5	32	FALSE
4409	"Free"	"lifestyle"	"photo and video"	TRUE	3	39	3	62	FALSE
4410	"Free"	"lifestyle"	"photo and video"	TRUE	3.5	28	3.5	51	FALSE
4435	"$0.99"	"lifestyle"	"entertainment"	FALSE	2.5	11	2.5	31	FALSE
4442	"$0.99"	"social networking"	"lifestyle"	FALSE		0	3	42	FALSE
4445	"Free"	"lifestyle"	"lifestyle"	TRUE	3	708	3	708	FALSE
4446	"Free"	"lifestyle"	"lifestyle"	TRUE	2	483	2	483	FALSE
4457	"$0.99"	"lifestyle"	"entertainment"	FALSE	2.5	8	3	136	FALSE
4463	"$0.99"	"lifestyle"	"sports"	FALSE	3	61	3	61	FALSE
4466	"Free"	"lifestyle"	"utilities"	TRUE	3	33	3	40	FALSE
4481	"$0.99"	"lifestyle"	"lifestyle"	FALSE	4	203	4	203	FALSE
4486	"Free"	"lifestyle"	"lifestyle"	TRUE	4.5	22	4.5	260	FALSE
4493	"Free"	"lifestyle"	"entertainment"	TRUE	4.5	5	3	1099	FALSE
4498	"Free"	"lifestyle"	"entertainment"	TRUE	1.5	527	1.5	527	FALSE
4514	"$0.99"	"lifestyle"	"lifestyle"	FALSE	2	61	2	15802	FALSE
4516	"Free"	"lifestyle"	"lifestyle"	TRUE	4	814	4	814	FALSE
4524	"Free"	"lifestyle"	"lifestyle"	TRUE	3	412	3.5	114238	TRUE
4526	"Free"	"lifestyle"	"entertainment"	TRUE	3.5	398	2.5	14763	TRUE
4528	"Free"	"lifestyle"	"lifestyle"	TRUE	5	92	4.5	7612	TRUE
4529	"Free"	"lifestyle"	"photo and video"	TRUE	4	145	4	2131	TRUE
4530	"Free"	"lifestyle"	"lifestyle"	TRUE	3	35	3	208	TRUE
4535	"Free"	"lifestyle"	"lifestyle"	TRUE	3	54	3.5	310	FALSE
4551	"$2.99"	"lifestyle"	"health and fitness"	FALSE	4.5	942	4	23601	FALSE
4553	"Free"	"lifestyle"	"health and fitness"	TRUE	4.5	247	3	18635	FALSE
4561	"$0.99"	"lifestyle"	"entertainment"	FALSE	3.5	25	3	76	FALSE
4565	"Free"	"lifestyle"	"entertainment"	TRUE	3.5	60	3.5	70	FALSE
4566	"Free"	"lifestyle"	"entertainment"	TRUE	2.5	22	2.5	199	FALSE
4639	"Free"	"lifestyle"	"sports"	TRUE	1	9	3.5	64	TRUE
4650	"Free"	"lifestyle"	"travel"	TRUE	1.5	161	2.5	7122	TRUE
4660	"Free"	"lifestyle"	"lifestyle"	TRUE	3.5	21	4	38	FALSE
4684	"$0.99"	"lifestyle"	"entertainment"	FALSE	3	8	3.5	37	FALSE
4689	"$0.99"	"lifestyle"	"education"	FALSE	4.5	19	5	29	FALSE
4691	"Free"	"lifestyle"	"health and fitness"	TRUE	4.5	11	4.5	93	TRUE
4705	"Free"	"lifestyle"	"catalogs"	TRUE	3.5	53	4	672	FALSE
4706	"Free"	"lifestyle"	"lifestyle"	TRUE	4	32	4	13794	TRUE
4728	"Free"	"lifestyle"	"entertainment"	TRUE	3	49	3	49	FALSE
4737	"$0.99"	"lifestyle"	"lifestyle"	FALSE		0	3	43	FALSE
4739	"$2.99"	"lifestyle"	"education"	FALSE		0	2.5	117	FALSE
4744	"Free"	"lifestyle"	"lifestyle"	TRUE		0	3.5	50	TRUE
4820	"Free"	"lifestyle"	"health and fitness"	TRUE		0	2.5	70	TRUE
4822	"Free"	"lifestyle"	"social networking"	TRUE	3.5	55	3.5	82	FALSE
